Métaprogramme,Question,Réponse 1,Réponse 2,Réponse 3,Réponse 4
Passé,Revenez-vous souvent sur des événements passés pour comprendre le présent ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Passé,Est-ce que vos souvenirs guident souvent vos choix ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Présent,Vous concentrez-vous davantage sur ce que vous vivez ici et maintenant ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Présent,Avez-vous du mal à faire des plans à long terme ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Présent,Est-ce que vous agissez surtout en fonction de ce qui se passe aujourd’hui ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Présent,Vous sentez-vous guidé(e) par vos ressentis du moment ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Présent,Réagissez-vous davantage à ce qui se passe tout de suite qu’à ce qui pourrait arriver ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Futur,Faites-vous souvent des projets à long terme ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Futur,Avez-vous besoin de visualiser l’avenir pour vous sentir motivé(e) ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Futur,Planifiez-vous beaucoup ce que vous allez faire dans les semaines à venir ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Futur,Pensez-vous souvent à ce que vous voulez devenir ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Futur,Anticipez-vous les conséquences futures de vos décisions ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Olfactif,Les odeurs influencent-elles facilement votre humeur ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Olfactif,Êtes-vous très sensible aux parfums ou aux odeurs fortes ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Olfactif,Vous rappelez-vous facilement d’une personne grâce à son odeur ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Olfactif,Avez-vous des odeurs préférées qui vous apaisent ou vous stimulent ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Olfactif,Une odeur peut-elle suffire à vous rappeler un souvenir ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Gustatif,Le goût influence-t-il fortement votre expérience d’un moment ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Gustatif,Choisissez-vous des lieux ou événements selon ce que vous allez y manger ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Gustatif,"Vous arrive-t-il de manger juste pour le plaisir du goût, sans faim ?",Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Gustatif,Un bon plat peut-il améliorer votre humeur ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Gustatif,Le partage de repas est-il un moment important pour vous ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Tourné vers soi,Pensez-vous d’abord à vous avant d’aider les autres ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Tourné vers soi,Votre propre bien-être passe-t-il en priorité dans vos décisions ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Tourné vers soi,Avez-vous besoin d’être aligné(e) avec vous-même avant d’agir ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Tourné vers soi,Votre confort personnel est-il une condition essentielle à votre implication ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Tourné vers soi,Faites-vous passer vos besoins en premier dans un groupe ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Tourné vers les autres,Anticipez-vous souvent les besoins ou attentes des autres ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Tourné vers les autres,Vos choix sont-ils souvent guidés par le plaisir que cela procurera aux autres ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Tourné vers les autres,Préférez-vous faire plaisir quitte à vous contraindre un peu ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Tourné vers les autres,Vous sentez-vous responsable du bien-être des autres ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Tourné vers les autres,Est-il important pour vous d’être perçu(e) comme quelqu’un d’attentionné ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Global,Aimez-vous comprendre les grandes lignes avant d’entrer dans les détails ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Global,Préférez-vous les visions d’ensemble aux explications minutieuses ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Global,Avez-vous besoin de situer les choses dans un cadre général ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Global,Est-ce que les détails vous intéressent surtout une fois la vue d’ensemble comprise ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Global,Avez-vous du mal à rester concentré(e) sur des choses trop précises ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Détail,Aimez-vous décortiquer les choses en éléments précis ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Détail,"Sur un mur nouvellement peint, allez-vous voir instantanément le petit détail mal fait ?",Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Détail,Vous attachez-vous aux détails avant d’embrasser une vision globale ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Détail,Les choses inexactes ou floues vous mettent-elles mal à l’aise ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Détail,Vous sentez-vous rassuré(e) par des données précises ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Introverti,Avez-vous besoin de calme pour vous ressourcer ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Introverti,Préférez-vous les interactions en petit comité ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Introverti,Le temps seul(e) est-il vital pour votre équilibre ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Introverti,Trouvez-vous fatigantes les réunions sociales prolongées ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Introverti,Vous sentez-vous plus vous-même dans l’intimité que dans un groupe ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Extraverti,Vous sentez-vous énergisé(e) par la présence des autres ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Extraverti,Avez-vous tendance à parler pour réfléchir ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Extraverti,Cherchez-vous la compagnie plutôt que la solitude ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Extraverti,Les environnements dynamiques vous stimulent-ils ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
Extraverti,Préférez-vous partager vos pensées plutôt que les garder pour vous ?,Oui (100%),Souvent (50%),Rarement (25%),Non (0%)
